Index,q_num,q_id,q_type,sample_id,created
0,1,mhhe_0,mhhe,n02099712_3868,2021_18_05_18_18_34
1,2,mehh_0,mehh,n02105855_15233,2021_18_05_18_18_34
2,3,mehe_0,mehe,n02088238_10757,2021_18_05_18_18_34
3,4,mehh_1,mehh,n02096177_11012,2021_18_05_18_18_34
4,5,mehh_2,mehh,n02096051_5018,2021_18_05_18_18_34
5,6,mehh_3,mehh,n02096294_4535,2021_18_05_18_18_34
6,7,mehe_1,mehe,n02085620_2973,2021_18_05_18_18_34
7,8,mhhh_0,mhhh,n02089867_671,2021_18_05_18_18_34
8,9,mhhh_1,mhhh,n02099429_3371,2021_18_05_18_18_34
9,10,mehe_2,mehe,n02088094_1150,2021_18_05_18_18_34
10,11,mehh_4,mehh,n02087394_8570,2021_18_05_18_18_34
11,12,mehh_5,mehh,n02110958_12025,2021_18_05_18_18_34
12,13,mhhe_1,mhhe,n02110063_11105,2021_18_05_18_18_34
13,14,mehh_6,mehh,n02087046_4135,2021_18_05_18_18_34
14,15,mehh_7,mehh,n02096051_3045,2021_18_05_18_18_34
15,16,mhhe_2,mhhe,n02111129_2949,2021_18_05_18_18_34
16,17,mhhe_3,mhhe,n02111277_11934,2021_18_05_18_18_34
17,18,mhhh_2,mhhh,n02101388_5541,2021_18_05_18_18_34
18,19,mehh_8,mehh,n02085936_10719,2021_18_05_18_18_34
19,20,mehe_3,mehe,n02105641_7945,2021_18_05_18_18_34
20,21,mehh_9,mehh,n02105505_2382,2021_18_05_18_18_34
21,22,mehe_4,mehe,n02106662_19791,2021_18_05_18_18_34
22,23,mehe_5,mehe,n02109525_5264,2021_18_05_18_18_34
23,24,mehh_10,mehh,n02097130_2866,2021_18_05_18_18_34
24,25,mehh_11,mehh,n02092002_109,2021_18_05_18_18_34
25,26,mehh_12,mehh,n02093859_3179,2021_18_05_18_18_34
26,27,mehh_13,mehh,n02086240_7454,2021_18_05_18_18_34
27,28,mhhh_3,mhhh,n02091134_7862,2021_18_05_18_18_34
